Name,Year,Genre,Critic_Score,Global_Sales,Platform,cat_publi,cat_studio
Assassin's Creed: Brotherhood,2010,Action,9.1,6.97,Multi_Plateforme,3,3
Assassin's Creed: Revelations,2011,Action,7.9,8.45,PS3,3,3
Assetto Corsa,2016,Racing,6.0,0.02,XOne,3,0
Asterix and Obelix XXL2,2018,Action-Adventure,6.5,0.06,NS,1,0
Asteroids Hyper 64,1999,Shooter,5.6,0.16,N64,2,1
Astonishia Story,2006,Role-Playing,4.8,0.03,PSP,3,0
Astro Bot Rescue Mission,2018,Platform,8.5,0.71,PS4,3,2
Astro Boy: Omega Factor,2004,Action,8.8,0.09,GBA,3,3
Astro Boy: The Video Game,2009,Action,4.4,0.36,Multi_Plateforme,2,3
Atari Anniversary Advance,2002,Misc,7.7,0.18,GBA,3,3
Atelier Iris 2: The Azoth Of Destiny,2006,Role-Playing,6.8,0.06,PS2,3,2
Atelier Iris 3: Grand Phantasm (US Sales),2007,Role-Playing,6.1,0.29,PS2,3,2
Atelier Iris: Eternal Mana,2005,Role-Playing,7.2,0.15,PS2,3,2
Atelier Rorona: Alchemist of Arland,2014,Role-Playing,6.4,0.48,PS3,3,2
Atelier Totori: The Adventurer of Arland,2011,Role-Playing,7.8,0.43,PS3,3,2
Atomic Betty,2005,Puzzle,6.0,0.03,GBA,3,0
Attack on Titan 2,2018,Action,7.0,0.54,Multi_Plateforme,2,3
Auto Modellista,2003,Racing,5.9,0.03,GC,3,3
Avalon Code,2009,Role-Playing,7.1,0.24,DS,2,3
Avatar: The Last Airbender,2006,Adventure,5.5,0.61,GC,3,2
Axiom Verge,2017,Action,7.5,0.17,NS,1,1
Azure Dreams,1998,Role-Playing,7.4,0.13,PS,3,3
Azure Striker Gunvolt,2014,Action,8.0,0.02,3DS,0,2
BIT.TRIP COMPLETE,2011,Misc,8.1,0.09,Wii,2,1
BIT.TRIP SAGA,2011,Platform,7.5,0.14,3DS,2,1
BUZZ! Quiz World,2009,Misc,7.8,0.92,PS3,3,2
Babysitting Mama,2010,Simulation,3.8,0.49,Wii,3,1
Back to the Future: The Game,2010,Adventure,7.0,0.05,PC,0,1
BackTrack,2001,Shooter,5.2,0.0,GBA,0,0
Backbreaker,2010,Sports,5.2,0.18,X360,3,1
Backstreet Billiards,1998,Misc,7.2,0.34,PS,2,1
Backyard Basketball,2004,Sports,6.0,0.18,GBA,3,2
Backyard Hockey,2003,Sports,6.0,0.2,GBA,3,2
Backyard NFL Football 2006,2005,Sports,5.5,0.03,GBA,3,0
Backyard Wrestling: Don't Try This at Home,2003,Fighting,6.0,0.77,PS2,3,2
Bad Boys: Miami Takedown,2004,Shooter,4.3,0.05,GC,2,3
Baja: Edge of Control,2008,Racing,5.0,0.41000000000000003,PS3,3,1
Bakugan: Battle Brawlers,2009,Action,6.4,1.38,DS,3,3
Baldur's Gate,1998,Role-Playing,9.2,0.0,PC,2,1
Baldur's Gate: Dark Alliance,2002,Role-Playing,7.7,0.17,GBA,2,1
Baldur's Gate: Dark Alliance II,2004,Role-Playing,7.8,0.68,PS2,2,2
Baldur's Gate: Tales of the Sword Coast,1999,Role-Playing,8.1,0.0,PC,2,1
Ballistic,1999,Puzzle,7.9,0.04,PS,3,1
Ballistic: Ecks vs. Sever,2002,Shooter,7.3,0.1,GBA,2,1
Band Hero,2009,Misc,7.6,3.38,Multi_Plateforme,3,3
Bangai-O Spirits,2008,Shooter,8.4,0.08,DS,2,2
Banjo-Kazooie,1998,Platform,9.3,3.65,N64,3,3
Banjo-Kazooie: Grunty's Revenge,2003,Platform,6.6,0.33,GBA,3,3
